branch_name,category,target_branch,file_count,conflict_level,dependencies,inventory_changes,role_changes,playbook_changes,vars_changes,docs_changes,config_changes,other_changes,last_commit,author,last_modified,last_message
audit-fixes-20250917-191153,KEEP,N/A,712,N/A,"inventory-first, roles-after-inventory, playbooks-after-roles",33,234,34,18,105,4,273,3d3ce1ab,HX Infrastructure Team,Wed Sep 17 19:15:01 2025 +0000,CRITICAL: Complete audit fixes - security hardenin...
doc-refactor/feedback-consolidation,CONSOLIDATE,phase-2-consolidated,746,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",31,290,35,17,79,4,279,ace321ac,HX Infrastructure Agent,Wed Sep 17 06:48:26 2025 +0000,Docs: Address comprehensive feedback - consolidate...
emergency-security-merge,KEEP,N/A,56,N/A,"inventory-first, roles-after-inventory",6,4,0,0,3,1,42,66c44818,hanax-ai,Thu Sep 18 20:22:19 2025 +0000,📋 EMERGENCY REPORT: Phase 1 Security Action Comple...
env-inventories-phase2,CONSOLIDATE,infrastructure-consolidated,779,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",31,290,35,18,103,4,287,e5873f0a,HX Infrastructure Agent,Wed Sep 17 04:52:09 2025 +0000,Phase 2.1: Add comprehensive environment-specific ...
feat/var-templates-phase3,CONSOLIDATE,feature-consolidated-production,765,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",31,290,35,17,97,4,280,277ba9f7,HX Infrastructure Agent,Wed Sep 17 05:38:51 2025 +0000,"Phase 3.1: Comprehensive variable templates, defau..."
feature-consolidated-production,CONSOLIDATE,phase-2-consolidated,0,LOW,none,0,0,0,0,0,0,0,1266159f,hanax-ai,Fri Sep 26 05:46:31 2025 +0000,"Enhance POC-1: Add Python Backend, Testing Framewo..."
feature/coderabbit-remediation,KEEP,N/A,50,N/A,"inventory-first, roles-after-inventory",5,4,0,0,0,1,40,8c73f35c,hanax-ai,Thu Sep 18 18:08:58 2025 +0000,Fix dev inventory YAML syntax error
feature/phase-3-4-production-ops,CONSOLIDATE,phase-2-consolidated,438,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",7,126,12,13,51,4,214,fd98602c,HX Infrastructure Team,Thu Sep 18 05:28:23 2025 +0000,Phase 3.4 comprehensive implementation: Complete P...
feature/phase2-security,CONSOLIDATE,feature-consolidated-production,50,LOW,"inventory-first, roles-after-inventory",5,4,0,0,0,1,40,c9b8197f,HANA-X,Thu Sep 18 14:16:48 2025 -0500,Merge pull request #25 from hanax-ai/feature/coder...
feature/pin-critical-directive,CONSOLIDATE,feature-consolidated-production,66,LOW,"inventory-first, roles-after-inventory",5,10,0,0,4,0,47,947b48b7,hanax-ai,Thu Sep 18 14:54:15 2025 +0000,CRITICAL: Pin directive & implement Phase 1 fixes
feature/repo-recovery-phase1,CONSOLIDATE,feature-consolidated-production,649,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",19,241,25,15,88,4,246,5c69cf5f,HX Infrastructure Team,Wed Sep 17 16:12:17 2025 +0000,Remove workflow README to resolve GitHub App permi...
feature/repo-recovery-phase2,CONSOLIDATE,feature-consolidated-production,644,LOW,"inventory-first, roles-after-inventory, playbooks-after-roles",19,236,25,15,88,4,246,0ce56f04,HX Infrastructure Team,Wed Sep 17 16:27:23 2025 +0000,Phase 2: Role Standardization - Major Progress
